ticket_no,request_date,tenant_id,room_no,issue_type,priority_level,description,estimated_cost,actual_cost,technician_staff_id,status,completion_date,created_at
1,2026-01-05,1,101,Plumbing,High,Water pipe leak under bathroom sink,1000,1200,2,Completed,2026-01-07,2026-01-05 09:30:00+00
2,2026-01-12,3,201,Electrical,Urgent,Power outlet sparking in living room,1500,,3,In Progress,,2026-01-12 09:30:00+00
3,2026-01-20,2,102,Furniture,Low,Wardrobe door hinge broken,300,,,Pending,,2026-01-20 09:30:00+00
4,2026-01-28,9,302,Plumbing,Medium,Low water pressure in bathroom,500,,2,In Progress,,2026-01-28 09:30:00+00
5,2026-02-03,5,301,Other,Medium,Window lock not functioning,400,,,Pending,,2026-02-03 09:30:00+00
6,2026-02-08,7,203,Electrical,High,Air conditioner not cooling properly,2000,3500,3,Completed,2026-02-12,2026-02-08 09:30:00+00
7,2026-02-15,8,104,Furniture,Low,Study desk drawer stuck,200,500,5,Completed,2026-02-17,2026-02-15 09:30:00+00
8,2026-02-20,10,401,Plumbing,High,Toilet cistern overflow,800,,2,In Progress,,2026-02-20 09:30:00+00
9,2026-03-05,6,202,Other,Low,Main door squeaking loudly,150,800,5,Completed,2026-03-06,2026-03-05 09:30:00+00
10,2026-03-10,4,103,Electrical,Medium,Bathroom exhaust fan not working,600,,3,Pending,,2026-03-10 09:30:00+00
11,2026-03-12,1,101,Plumbing,Low,Kitchen tap dripping continuously,300,350,2,Completed,2026-03-13,2026-03-12 09:30:00+00
12,2026-03-14,9,302,Furniture,Medium,Sofa cushion torn and spring broken,800,,5,Pending,,2026-03-14 09:30:00+00
13,2026-03-16,3,201,Electrical,High,Main circuit breaker tripping repeatedly,2500,2800,3,Completed,2026-03-18,2026-03-16 09:30:00+00
14,2026-03-18,6,202,Plumbing,Urgent,Bathroom floor drain severely blocked,1200,,2,In Progress,,2026-03-18 09:30:00+00
15,2026-03-20,5,301,Other,Low,Hallway ceiling light flickering,200,200,5,Completed,2026-03-21,2026-03-20 09:30:00+00
